step, snr, load, capacity, handovers, total_allocated_bw, allocation
145,-12.608305931091309,0.5643330812454224,0.270879864692688,146.0,29322.333984375,1.0
146,-12.535255432128906,0.006642492953687906,0.0031883965712040663,147.0,29323.142578125,0.0023409610148519278
147,-12.655527114868164,0.0024299740325659513,0.0011663874611258507,148.0,29329.171875,0.01593809947371483
148,-12.93677806854248,0.6863698363304138,0.32945752143859863,149.0,29452.658203125,1.0
149,-13.413069725036621,0.10918321460485458,0.052407942712306976,150.0,29786.6953125,0.7220779061317444
150,-12.97176456451416,0.34425264596939087,0.1652412712574005,151.0,30310.591796875,1.0
151,-12.683834075927734,0.9228380918502808,0.44296228885650635,152.0,30450.59375,1.0
152,-12.59682559967041,0.2878667414188385,0.13817603886127472,153.0,30590.083984375,1.0
153,-12.608050346374512,0.9114210605621338,0.4374821186065674,154.0,30791.8515625,1.0
154,-12.829687118530273,0.9994470477104187,0.4797345697879791,155.0,31134.009765625,1.0
155,-13.206753730773926,8.340114436578006e-05,4.0032547985902056e-05,156.0,31157.091796875,0.07451800256967545
156,-13.180706024169922,0.06717753410339355,0.0322452150285244,157.0,31389.5,0.9642692804336548
157,-12.829679489135742,0.4184393882751465,0.20085091888904572,158.0,31558.4296875,1.0
158,-12.639132499694824,0.9268163442611694,0.44487184286117554,159.0,31813.162109375,1.0
159,-12.636143684387207,0.4222787618637085,0.20269380509853363,160.0,32031.166015625,1.0
160,-12.828720092773438,0.6211843490600586,0.29816848039627075,161.0,32411.998046875,1.0
161,-13.753268241882324,0.1439879834651947,0.06911423057317734,162.0,32475.76953125,1.0
162,-13.709268569946289,0.9565577507019043,0.45914772152900696,163.0,32631.369140625,1.0
163,-12.889358520507812,0.3844800293445587,0.1845504194498062,164.0,32883.98046875,1.0
164,-12.696294784545898,0.7982493042945862,0.38315966725349426,165.0,33379.125,1.0
165,-12.690657615661621,0.6621953248977661,0.31785374879837036,166.0,33671.953125,1.0
166,-12.779217720031738,0.6550813913345337,0.314439058303833,167.0,33790.09375,1.0
167,-12.930190086364746,0.050246961414813995,0.024118540808558464,168.0,33858.9375,0.29377758502960205
168,-13.52048397064209,0.5910441279411316,0.28370118141174316,169.0,33933.94140625,1.0
169,-13.110871315002441,0.14391012489795685,0.06907686591148376,170.0,34078.65234375,0.33692970871925354
170,-12.837834358215332,0.2168995887041092,0.10411179810762405,171.0,34155.03125,1.0
171,-12.746904373168945,0.34041228890419006,0.1633979082107544,172.0,34518.5390625,1.0
172,-12.85024356842041,0.7489093542098999,0.3594764769077301,173.0,34999.56640625,1.0
173,-13.13599967956543,0.000212884129723534,0.00010218438546871766,174.0,35025.45703125,0.12368621677160263
174,-13.556159973144531,0.9820162653923035,0.47136780619621277,175.0,35192.80859375,1.0
175,-13.372984886169434,0.049875713884830475,0.023940343409776688,176.0,35261.00390625,0.41261616349220276
176,-13.195563316345215,0.6234882473945618,0.29927438497543335,177.0,35320.625,1.0
177,-13.009897232055664,0.5294005870819092,0.2541123032569885,178.0,35576.33203125,1.0
178,-12.899106979370117,0.002439468866214156,0.0011709451209753752,179.0,35576.51953125,0.0006808491889387369
179,-12.851330757141113,0.9886748790740967,0.47456392645835876,180.0,35753.44921875,1.0
180,-12.860600471496582,0.23294994235038757,0.11181597411632538,181.0,36054.39453125,1.0
181,-12.994620323181152,0.5378791689872742,0.25818198919296265,182.0,36095.80859375,1.0
182,-13.152782440185547,0.3690708875656128,0.17715401947498322,183.0,36274.96875,1.0
183,-14.287729263305664,0.1643487513065338,0.07888740301132202,184.0,36420.7734375,1.0
184,-13.859061241149902,0.6212731003761292,0.29821109771728516,185.0,36574.40234375,1.0
185,-13.686776161193848,0.6948275566101074,0.3335172235965729,186.0,36587.0703125,1.0
186,-13.676009178161621,0.6917012333869934,0.33201658725738525,186.0,36629.19921875,1.0
187,-13.228081703186035,0.9774616956710815,0.469181627035141,187.0,36792.18359375,1.0
188,-13.400362014770508,0.993894636631012,0.4770694375038147,188.0,36920.76171875,1.0
189,-13.046415328979492,0.5462901592254639,0.26221928000450134,189.0,37148.18359375,1.0
190,-13.025376319885254,0.5310441851615906,0.2549012005329132,190.0,37334.44921875,1.0
191,-13.057333946228027,0.0004112738824915141,0.00019741147116292268,191.0,37340.76953125,0.0760851502418518
