step, lat, lon, alt, snr, load, handovers, allocated_bw, allocation_ratio, demand_MB, throughput_req, queing_delay_s, propagation_latency_s, transmission_rate_mbps, latency_req_s, beam_capacity
103,29.888456344604492,-95.23822784423828,1111.431396484375,6.448573112487793,0.7444663047790527,11.0,1.1657522916793823,1.0,1.1657522916793823,9.199999809265137,0.0,0.008961047045886517,122.65616607666016,0.10000000149011612,15.542033195495605
104,29.88770294189453,-95.237060546875,1117.690673828125,6.463014602661133,0.7717320322990417,11.0,1.1650848388671875,1.0,1.1650848388671875,9.199999809265137,0.0,0.008946310728788376,109.56863403320312,0.10000000149011612,13.875734329223633
105,29.88694953918457,-95.23590087890625,1123.949951171875,6.4773101806640625,0.7978810667991638,11.0,1.1644182205200195,1.0,1.1644182205200195,9.199999809265137,0.0,0.008931750431656837,97.01707458496094,0.10000000149011612,12.279180526733398
106,29.88619613647461,-95.23473358154297,1130.209228515625,6.491458415985107,0.822809636592865,11.0,1.1637524366378784,1.0,1.1637524366378784,9.199999809265137,0.0,0.008917366154491901,85.05137634277344,0.10000000149011612,10.758559226989746
107,29.88544273376465,-95.23357391357422,1136.4686279296875,6.505457401275635,0.8464189171791077,11.0,1.1630873680114746,1.0,1.1630873680114746,9.199999809265137,0.0,0.008903159759938717,73.71891021728516,0.10000000149011612,9.319731712341309
108,29.884689331054688,-95.23240661621094,1142.7279052734375,6.519306659698486,0.8686159253120422,11.0,1.162423014640808,1.0,1.162423014640808,9.199999809265137,0.0,0.00888913031667471,63.064361572265625,0.10000000149011612,7.968202590942383
109,29.883935928344727,-95.23123931884766,1148.9871826171875,6.533004283905029,0.8893134593963623,11.0,1.1617594957351685,1.0,1.1617594957351685,9.199999809265137,0.0,0.008875278756022453,53.12953567504883,0.10000000149011612,6.709102153778076
110,29.883182525634766,-95.2300796508789,1155.2464599609375,6.546549320220947,0.9084307551383972,11.0,1.1610966920852661,1.0,1.1610966920852661,9.199999809265137,0.0,0.008861606009304523,43.9532356262207,0.10000000149011612,5.547169208526611
111,29.882429122924805,-95.22891235351562,1161.5057373046875,6.559940814971924,0.9258935451507568,11.0,1.160434603691101,1.0,1.160434603691101,9.199999809265137,0.0,0.00884811207652092,35.57109451293945,0.10000000149011612,4.48673152923584
112,29.881675720214844,-95.22775268554688,1167.7650146484375,6.573177337646484,0.941634476184845,11.0,1.159773349761963,1.0,1.159773349761963,9.199999809265137,0.0,0.008834797888994217,28.015451431274414,0.10000000149011612,3.5316929817199707
113,29.880922317504883,-95.2265853881836,1174.0242919921875,6.586256980895996,0.9555932879447937,11.0,1.1591129302978516,1.0,1.1591129302978516,9.199999809265137,0.0,0.008821663446724415,21.315231323242188,0.10000000149011612,2.6855173110961914
114,29.88016700744629,-95.22541809082031,1180.2835693359375,6.599179744720459,0.18030835688114166,12.0,1.158453106880188,1.0,1.158453106880188,9.199999809265137,0.0,0.008808709681034088,393.4519958496094,0.10000000149011612,49.54301071166992
115,29.879413604736328,-95.22425842285156,1186.5428466796875,6.61194372177124,0.20526514947414398,12.0,1.1577941179275513,1.0,1.1577941179275513,9.199999809265137,0.0,0.008795936591923237,381.47271728515625,0.10000000149011612,48.00727081298828
116,29.878660202026367,-95.22309112548828,1192.8021240234375,6.624547481536865,0.23138709366321564,12.0,1.1571359634399414,1.0,1.1571359634399414,9.199999809265137,0.0,0.008783345110714436,368.9342041015625,0.10000000149011612,46.40293502807617
117,29.877906799316406,-95.22193145751953,1199.0614013671875,6.636990547180176,0.25856781005859375,12.0,1.1564784049987793,1.0,1.1564784049987793,9.199999809265137,0.0,0.008770935237407684,355.887451171875,0.10000000149011612,44.73653793334961
